Receptor,Transducer,X4_AcO_MALT,X5_MeO_DMT,X5_MeO_DALT,X5_MeO_DiPT,X5_MeO_EiPT,N_N_DMT,X5_OH_DMT,Psilocin,Psilocybin,Aleph_1,Allylescaline,Bromo_DragonFLY,BL_3912A,CPM,X25C_NBOMe,Escaline,Isoproscaline,X25I_NBMD,X25I_NBOMe,X5_MAPDB,MAL,Mescaline,TCB_2,X25T7_NBOMe,AL_LAD,BU_LAD,DAM_57,DIPLA,DMCPA,DOI,DOM,ETH_LAD,LAMPA,LSD,LSZ,METALLAD,MDMA,Methylone,Nor_LSD,Lisuride
5HT1B,GoB,124.640712680442,132.254858895659,120.41285119136,127.432552408029,125.660634880514,111.688017953813,111.566962875917,109.565271686246,99.6042169991544,89.481691724296,103.853401514811,86.6799715446618,76.2666411343305,96.9231328919151,0,84.0133049887234,105.134099507541,77.3954856355363,0,65.0681831338842,87.088761465025,104.878627368788,87.266431411673,0,102.338690793965,104.913254828945,116.463507271861,107.34815387869,100.091620366177,113.252797923669,103.390011581367,113.925584134274,111.484498053861,110.952902446207,102.903598984328,111.925620240491,91.1547694081916,85.8473799280885,104.534243490885,112.186695604587
5HT1B,Gz,94.5150583714743,106.727352061088,95.9031415751113,100.194369071973,106.115625956538,96.42893937023,102.08231986644,102.0083438174,88.5440438737001,36.9066481473689,89.5741481160868,105.799376139852,0,92.388716824674,0,62.3833468950463,74.597726315176,73.6603216431656,0,0,68.3075953623248,91.0738206299347,93.9822952089134,0,98.9554737211186,74.2197248625408,96.8309899919455,90.7120476520279,81.1000310604097,63.276573666836,96.5203313297396,101.319054630449,98.6307940914959,99.8338702614071,96.1560300603129,90.324877057577993,46.1306388906887,59.3597269619689,97.1401372633731,98.2613901408448
5HT1D,Gi1,91.24,95.4,100.43,91.74,89.39,100.4,98.84,93.04,102.95,0,94.59,121.04,80.05,93.2,0,59.29,77.91,59.49,30.08,24.75,62.82,104.02,97.32,27.71,66.88,51.49,86.78,81.12,72.6,54.32,85.61,112.8,118.18,113.14,117.16,75.82,27.61,24.57,88.68,89.27
5HT1D,Gi2,99.93,108.09,98.2,98.46,100.12,88.97,86.39,79.24,73.61,53.7,104.72,105.03,107.83,109.93,61.56,99.83,85.55,58.98,0,0,63.32,98.91,100.29,31.81,95.44,72.21,102.46,97.85,95.48,88.64,114.17,109.95,101.05,99.18,93.82,88.59,37.58,0,92.49,102.23
5HT1D,Gi3,101.04,104.69,102.32,103.02,103.42,98.36,92.22,92.35,88.65,59.93,106.52,118.99,91.32,113.81,0,90.65,117.2,91.94,53.65,50.89,75.1,99.05,95.31,0,87.72,65.92,94.46,89.62,97.78,87.24,96.14,97.59,94.2,104.83,101.43,89.94,50.81,41.2,99.13,97.37
5HT1D,GoA,90.68,111.07,101.95,92.21,106.76,89.57,98.41,93.09,77.07,53.04,108.42,106.1,87.67,96.26,0,55.74,77.96,52.68,26.54,0,72.01,96.67,106.84,0,98.49,68.5,101.88,88.11,90.17,86.96,96.04,101.64,99.18,91.9,103.83,84.7,48.86,32.67,101.65,104.43
5HT1D,GoB,97.31,98.03,100.22,103.66,107.96,94.31,100.54,94.58,83.72,76.1,69.78,86.4,60.53,80.64,0,85.25,103.97,81.74,37.26,38.05,71.35,88.61,99.73,0,90.94,75.88,93.17,89.9,89.45,101.6,82.72,97.98,100.631880438068,91.93,97.36,89.51,49.49,27.96,93.78,95.85
5HT1D,Gz,78.47,94.65,93.54,93.75,99.05,101.11,101.95,94.6,90.14,61.7,87.98,122.93,78.93,85.43,0,56.82,85.81,78,0,0,64.65,93.01,98.19,27.28,92.55,51.52,95.67,86.46,81.56,67.72,80.25,96.79,95.06,93.35,100.89,83.88,44.29,25.48,84.24,83.05
5HT1E,Gi1,97.52,102.76,88.6,66.56,91.47,93.91,95.05,97.62,68.12,90.28,107.05,93.65,66.21,90.86,0,0,22.8,0,17.12,0,78.7,64.67,105.52,0,92.27,61.54,87.33,99.47,59.82,90.05,75.41,96.4,91.21,108.42,101.76,54.63,0,0,91.86,105.44
5HT1E,Gi2,96.83,105.54,100.47,85.92,99.32,107.14,94.8,102.53,91.19,101.09,101.25,88.53,95.72,98.14,0,96.19,46.01,85.26,17.66,27.84,75.84,81.93,102.63,0,91.45,83.96,95.1,108.42,88.18,105.7,101.65,103.74,89.85,104.75,101.13,84.26,0,0,96.64,104.63
5HT1E,Gi3,86.32,102.72,101.26,75.69,89.43,98.88,112.55,94.48,78.48,93.68,110.58,113.63,84.88,0,0,0,0,81.47,0,39.72,64.37,64.55,108.87,0,85.53,62.1,108.44,84.79,80.66,94.24,96.55,90.23,104.64,103.12,96.28,55.82,0,0,96.47,105.86
5HT1E,GoA,115.53,103.23,96.62,81.78,97.55,106.91,104.5,104.37,90.32,98.55,104.84,101.95,102.84,99.29,0,113.07,65.84,105.26,33.92,62.81,103.28,86.42,111.72,0,114.55,105.26,110.76,101.21,107.06,105.46,99.25,111.84,112.34,109.32,118.07,90.07,0,0,113.96,106.5
5HT1E,GoB,109.76,100.97,98.54,76.58,101,119.68,102.99,100.47,95.8,101.21,101.66,106.76,107.16,98.73,0,96.57,54.36,102.57,31.05,66.82,98.75,93.09,107.95,0,115.52,107.46,111.43,99.63,111.22,124.53,114.04,120.87,121.61,102.78,115.86,95.88,0,0,110.04,106.79
5HT1E,Gz,96.29,95.31,91.58,66.93,92.06,102.53,121.19,99.98,84.62,89.31,104.78,118.31,99.35,81.64,0,73.41,0,0,0,0,88.73,74.98,99.75,0,92.98,68.56,123.1,92.26,109.26,103.4,86.67,100.44,95.27,103.41,99.2,66,0,0,97.97,99.45
5HT1F,Gi1,86.4329214176965,94.9628253180965,76.3245677231838,55.5073412073158,79.9727024964704,107.530837192224,104.384649790273,99.5217488870034,98.0195363247253,62.2573568565416,24.0863008182359,67.3312859427644,0,0,0,0,0,0,0,53.476654689677,0,0,96.1947966987206,25.4764029832943,97.3406334100331,0,85.9943302114452,107.521993425429,0,82.1047510656019,0,98.8782052493697,101.482024919702,102.661501489474,101.454250761496,80.9311802112429,0,0,98.4321758463608,102.840721346103
5HT1F,Gi2,102.55271632607,79.8843039044385,70.4614306214967,75.7623050809758,96.0871638530838,89.0611630776769,97.5490752704662,96.6515587633784,88.9336291521154,78.4957380316796,56.355600615994,85.8193610896234,72.8717604957555,0,0,0,0,0,0,60.5498048375958,0,0,109.648204853644,0,107.747685193846,78.4939094559171,85.4554928476981,118.374031001892,96.7157549838818,85.5358881345797,85.0655128920715,103.615656338259,99.2731370060508,89.0946192228953,102.743941109489,111.579522645248,0,0,114.18498432786,88.6253624915797
5HT1F,Gi3,93.2445520560196,91.1316293104235,77.1582209542939,52.932130954201,102.379997722856,98.4106056090847,96.2004282135081,87.8057938553587,91.8707907187374,0,0,0,56.7274644061756,0,0,0,0,0,0,0,0,46.483208262208,106.60217121063,68.5285441149419,90.2246644872372,53.9277515421792,96.1510738769981,114.916999295295,0,83.8588135183377,59.2463411015311,97.0008359609673,98.2836994795985,99.5928349792112,95.4786059248553,98.5872648675307,56.8388467074784,26.5863061268144,86.9421099510389,88.1057865174573
